"","id","collection_year","country","isolation_type","isolation_source","set","count","numcoop","numself","numunkn","ratio","pctcoop","pctself"
"18","PDT000181681.2",2014,"Thailand","clinical","urine","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"19","PDT000181739.2",2015,"Thailand","clinical","pus","clinicalmcrisolates",5,2,3,0,0.666666666666667,0.4,0.6
"20","PDT000189723.1",2014,"Brazil","clinical","rectal swab","clinicalmcrisolates",10,4,6,0,0.666666666666667,0.4,0.6
"21","PDT000190871.1",2015,"USA","clinical","Human","clinicalmcrisolates",12,6,6,0,1,0.5,0.5
"22","PDT000188939.2",2016,"Brazil","clinical","foot secretion","clinicalmcrisolates",3,2,1,0,2,0.666666666666667,0.333333333333333
"23","PDT000137408.2",2013,"Malaysia","clinical","Urine","clinicalmcrisolates",9,3,6,0,0.5,0.333333333333333,0.666666666666667
"24","PDT000177181.2",2017,"USA","clinical",NA,"clinicalmcrisolates",4,3,1,0,3,0.75,0.25
"25","PDT000208669.1",2015,"China","clinical","Urine, bladder (ub)","clinicalmcrisolates",18,9,9,0,1,0.5,0.5
"26","PDT000209465.1",2014,"China","clinical","blood","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"27","PDT000209466.1",2016,"Taiwan","clinical","urine","clinicalmcrisolates",11,5,6,0,0.833333333333333,0.454545454545455,0.545454545454545
"28","PDT000209467.1",2015,"China","clinical","blood","clinicalmcrisolates",8,5,3,0,1.66666666666667,0.625,0.375
"29","PDT000213686.1",2016,NA,"clinical",NA,"clinicalmcrisolates",3,2,1,0,2,0.666666666666667,0.333333333333333
"30","PDT000215974.1",2017,"China","clinical",NA,"clinicalmcrisolates",17,8,9,0,0.888888888888889,0.470588235294118,0.529411764705882
"31","PDT000217694.1",2016,"Spain","clinical","bronchoaspirate sample","clinicalmcrisolates",16,5,11,0,0.454545454545455,0.3125,0.6875
"32","PDT000222628.1",2016,"USA","clinical","urine","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"33","PDT000224270.2",2017,"USA","clinical",NA,"clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"34","PDT000225231.1",2014,"China","clinical","Urine culture","clinicalmcrisolates",18,7,11,0,0.636363636363636,0.388888888888889,0.611111111111111
"35","PDT000225232.1",2014,"China","clinical","Urine culture","clinicalmcrisolates",17,5,12,0,0.416666666666667,0.294117647058824,0.705882352941177
"36","PDT000225233.1",2014,"China","clinical","Blood culture","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"37","PDT000225234.1",2014,"China","clinical","Urine culture","clinicalmcrisolates",18,6,12,0,0.5,0.333333333333333,0.666666666666667
"38","PDT000225235.1",2014,"China","clinical","Sputum culture","clinicalmcrisolates",15,6,9,0,0.666666666666667,0.4,0.6
"39","PDT000225236.1",2014,"China","clinical","Ascites","clinicalmcrisolates",19,7,12,0,0.583333333333333,0.368421052631579,0.631578947368421
"40","PDT000225237.1",2014,"China","clinical","Urine culture","clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"41","PDT000225238.1",2014,"China","clinical","Urine culture","clinicalmcrisolates",13,4,9,0,0.444444444444444,0.307692307692308,0.692307692307692
"42","PDT000225239.1",2014,"China","clinical","Urine culture","clinicalmcrisolates",14,4,10,0,0.4,0.285714285714286,0.714285714285714
"43","PDT000225240.1",2014,"China","clinical","Urine culture","clinicalmcrisolates",3,2,1,0,2,0.666666666666667,0.333333333333333
"44","PDT000225241.1",2014,"China","clinical","Ascites","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"45","PDT000225242.1",2015,"China","clinical","Urine culture","clinicalmcrisolates",13,7,6,0,1.16666666666667,0.538461538461538,0.461538461538462
"46","PDT000225244.1",2015,"China","clinical","Urine culture","clinicalmcrisolates",11,4,7,0,0.571428571428571,0.363636363636364,0.636363636363636
"47","PDT000227976.1",2016,"Portugal","clinical","urine","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"48","PDT000227987.1",2017,"China","clinical","secretion sample","clinicalmcrisolates",20,9,11,0,0.818181818181818,0.45,0.55
"49","PDT000233270.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",16,5,11,0,0.454545454545455,0.3125,0.6875
"50","PDT000233271.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",8,3,5,0,0.6,0.375,0.625
"51","PDT000233275.1",2017,"Thailand","clinical","Rectal swab","clinicalmcrisolates",17,6,11,0,0.545454545454545,0.352941176470588,0.647058823529412
"52","PDT000233276.1",2017,"Thailand","clinical","Rectal swab","clinicalmcrisolates",14,5,9,0,0.555555555555556,0.357142857142857,0.642857142857143
"53","PDT000233277.1",2017,"Thailand","clinical","Rectal swab","clinicalmcrisolates",7,2,5,0,0.4,0.285714285714286,0.714285714285714
"54","PDT000233278.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"55","PDT000233279.1",2017,"Thailand","clinical","Rectal swab","clinicalmcrisolates",15,5,10,0,0.5,0.333333333333333,0.666666666666667
"56","PDT000233281.1",2014,"Thailand","clinical","Rectal swab","clinicalmcrisolates",9,4,5,0,0.8,0.444444444444444,0.555555555555556
"57","PDT000233297.1",2015,"Thailand","clinical","Rectal swab","clinicalmcrisolates",11,4,7,0,0.571428571428571,0.363636363636364,0.636363636363636
"58","PDT000233299.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",10,4,6,0,0.666666666666667,0.4,0.6
"59","PDT000233300.1",2014,"Thailand","clinical","Rectal swab","clinicalmcrisolates",5,3,2,0,1.5,0.6,0.4
"60","PDT000233301.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",10,4,6,0,0.666666666666667,0.4,0.6
"61","PDT000233303.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"62","PDT000233304.1",2017,"Thailand","clinical","Rectal swab","clinicalmcrisolates",16,6,10,0,0.6,0.375,0.625
"63","PDT000233325.1",2015,"Thailand","clinical","Rectal swab","clinicalmcrisolates",13,4,9,0,0.444444444444444,0.307692307692308,0.692307692307692
"64","PDT000233326.1",2014,"Thailand","clinical","Rectal swab","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"65","PDT000233338.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"66","PDT000233843.1",2016,"Thailand","clinical","Rectal swab","clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"67","PDT000236047.1",2017,"China","clinical","feces","clinicalmcrisolates",19,6,13,0,0.461538461538462,0.315789473684211,0.684210526315789
"68","PDT000238516.1",2016,"Colombia","clinical","Urine","clinicalmcrisolates",5,2,3,0,0.666666666666667,0.4,0.6
"69","PDT000238519.1",2013,"Colombia","clinical","Blood","clinicalmcrisolates",5,2,3,0,0.666666666666667,0.4,0.6
"70","PDT000238521.1",2016,"Colombia","clinical","Vaginal Secretion","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"71","PDT000238526.1",2016,"Colombia","clinical","Abdominal wall abscess","clinicalmcrisolates",7,3,4,0,0.75,0.428571428571429,0.571428571428571
"72","PDT000238527.1",2016,"Colombia","clinical","Urine","clinicalmcrisolates",5,2,3,0,0.666666666666667,0.4,0.6
"73","PDT000238528.1",2016,"Colombia","clinical","Tissue right toe","clinicalmcrisolates",11,4,7,0,0.571428571428571,0.363636363636364,0.636363636363636
"74","PDT000238529.1",2016,"Colombia","clinical",NA,"clinicalmcrisolates",11,5,6,0,0.833333333333333,0.454545454545455,0.545454545454545
"75","PDT000238530.1",2013,"Colombia","clinical","Leg secretion","clinicalmcrisolates",8,3,5,0,0.6,0.375,0.625
"76","PDT000240704.1",2014,"Laos","clinical","stool","clinicalmcrisolates",17,5,12,0,0.416666666666667,0.294117647058824,0.705882352941177
"77","PDT000240705.1",2014,"Laos","clinical","stool","clinicalmcrisolates",17,5,12,0,0.416666666666667,0.294117647058824,0.705882352941177
"78","PDT000240706.1",2014,"France","clinical","stool","clinicalmcrisolates",10,4,6,0,0.666666666666667,0.4,0.6
"79","PDT000240707.1",2014,"Laos","clinical","stool","clinicalmcrisolates",14,3,11,0,0.272727272727273,0.214285714285714,0.785714285714286
"80","PDT000242482.1",2017,NA,"clinical","laboratory","clinicalmcrisolates",4,1,3,0,0.333333333333333,0.25,0.75
"81","PDT000242484.1",2017,"China","clinical","laboratory","clinicalmcrisolates",4,1,3,0,0.333333333333333,0.25,0.75
"82","PDT000250700.1",2015,"China","clinical","feces","clinicalmcrisolates",9,3,6,0,0.5,0.333333333333333,0.666666666666667
"83","PDT000264337.1",2008,"Japan","clinical",NA,"clinicalmcrisolates",3,2,1,0,2,0.666666666666667,0.333333333333333
"84","PDT000264365.1",1999,"Japan","clinical",NA,"clinicalmcrisolates",4,1,3,0,0.333333333333333,0.25,0.75
"85","PDT000264415.1",2010,"Japan","clinical",NA,"clinicalmcrisolates",3,2,1,0,2,0.666666666666667,0.333333333333333
"86","PDT000264474.1",2011,"Japan","clinical",NA,"clinicalmcrisolates",5,2,3,0,0.666666666666667,0.4,0.6
"87","PDT000264505.1",1997,"Japan","clinical",NA,"clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"88","PDT000264513.1",1998,"Japan","clinical",NA,"clinicalmcrisolates",4,2,2,0,1,0.5,0.5
"89","PDT000270452.1",2016,"Argentina","clinical","urine","clinicalmcrisolates",9,4,5,0,0.8,0.444444444444444,0.555555555555556
"90","PDT000270453.1",2016,"Argentina","clinical","urine","clinicalmcrisolates",11,6,5,0,1.2,0.545454545454545,0.454545454545455
"91","PDT000270455.1",2016,"Argentina","clinical","urine","clinicalmcrisolates",8,4,4,0,1,0.5,0.5
"92","PDT000270457.1",2016,"Argentina","clinical","urine","clinicalmcrisolates",9,3,6,0,0.5,0.333333333333333,0.666666666666667
"93","PDT000270471.1",2014,"Argentina","clinical","urine","clinicalmcrisolates",10,4,6,0,0.666666666666667,0.4,0.6
"94","PDT000270472.1",2016,"Argentina","clinical","urine","clinicalmcrisolates",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"95","PDT000271760.1",2016,"China","clinical","stool","clinicalmcrisolates",15,6,9,0,0.666666666666667,0.4,0.6
"96","PDT000273985.1",2017,"China","clinical","urine","clinicalmcrisolates",8,4,4,0,1,0.5,0.5
"97","PDT000274333.1",2016,"Qatar","clinical","Respiratory secretions","clinicalmcrisolates",17,7,10,0,0.7,0.411764705882353,0.588235294117647
"98","PDT000276841.1",2014,"Hong Kong","clinical","Rectal Swab","clinicalmcrisolates",21,10,11,0,0.909090909090909,0.476190476190476,0.523809523809524
"99","PDT000276842.1",2013,"China","clinical","Rectal Swab","clinicalmcrisolates",17,7,10,0,0.7,0.411764705882353,0.588235294117647
"100","PDT000279220.1",2016,"China","clinical","feces","clinicalmcrisolates",3,2,1,0,2,0.666666666666667,0.333333333333333
"101","PDT000285319.1",2015,"France","clinical","urine sample","clinicalmcrisolates",16,7,9,0,0.777777777777778,0.4375,0.5625
"102","PDT000285814.2",2018,"USA","clinical","stool","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"103","PDT000291269.1",2017,"China","clinical","faecal sample","clinicalmcrisolates",20,7,13,0,0.538461538461538,0.35,0.65
"104","PDT000294554.1",2017,"China","clinical",NA,"clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"105","PDT000294555.1",2017,"China","clinical",NA,"clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"106","PDT000294556.1",2017,"China","clinical",NA,"clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"107","PDT000313447.1",2016,"China","clinical","feces","clinicalmcrisolates",11,3,8,0,0.375,0.272727272727273,0.727272727272727
"108","PDT000313448.1",2016,"China","clinical","feces","clinicalmcrisolates",17,6,11,0,0.545454545454545,0.352941176470588,0.647058823529412
"109","PDT000313476.1",2008,"Japan","clinical",NA,"clinicalmcrisolates",4,1,3,0,0.333333333333333,0.25,0.75
"110","PDT000321317.1",2016,"Brazil","clinical","urine","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"111","PDT000321318.1",2017,"Brazil","clinical","urine","clinicalmcrisolates",14,5,9,0,0.555555555555556,0.357142857142857,0.642857142857143
"112","PDT000322738.1",2017,"United Kingdom","clinical","human","clinicalmcrisolates",13,4,9,0,0.444444444444444,0.307692307692308,0.692307692307692
"113","PDT000325631.1",2017,"Brazil","clinical","blood","clinicalmcrisolates",10,4,6,0,0.666666666666667,0.4,0.6
"114","PDT000325632.1",2016,"Brazil","clinical","urine","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"115","PDT000325633.1",2017,"Brazil","clinical","urine","clinicalmcrisolates",6,4,2,0,2,0.666666666666667,0.333333333333333
"116","PDT000327854.1",2016,"Viet Nam","clinical",NA,"clinicalmcrisolates",17,6,11,0,0.545454545454545,0.352941176470588,0.647058823529412
"117","PDT000327855.1",2016,"Viet Nam","clinical",NA,"clinicalmcrisolates",9,4,5,0,0.8,0.444444444444444,0.555555555555556
"118","PDT000327856.1",2016,"Viet Nam","clinical",NA,"clinicalmcrisolates",12,6,6,0,1,0.5,0.5
"119","PDT000327857.1",2017,"Viet Nam","clinical",NA,"clinicalmcrisolates",11,5,6,0,0.833333333333333,0.454545454545455,0.545454545454545
"120","PDT000329817.1",2016,"USA","clinical","Rectal swab","clinicalmcrisolates",10,5,5,0,1,0.5,0.5
"121","PDT000331967.1",2016,"China","clinical","fecal sample","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"122","PDT000333201.1",2016,"Bolivia","clinical","Postoperative transudate","clinicalmcrisolates",16,8,8,0,1,0.5,0.5
"123","PDT000343295.1",2016,"France","clinical","clinical isolate","clinicalmcrisolates",4,2,2,0,1,0.5,0.5
"124","PDT000346531.1",2016,"China","clinical","feces","clinicalmcrisolates",14,4,10,0,0.4,0.285714285714286,0.714285714285714
"125","PDT000346532.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"126","PDT000346533.1",2016,"China","clinical","feces","clinicalmcrisolates",12,6,6,0,1,0.5,0.5
"127","PDT000346534.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"128","PDT000346535.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"129","PDT000346536.1",2016,"China","clinical","feces","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"130","PDT000346537.1",2016,"China","clinical","feces","clinicalmcrisolates",6,3,3,0,1,0.5,0.5
"131","PDT000346538.1",2016,"China","clinical","feces","clinicalmcrisolates",14,4,10,0,0.4,0.285714285714286,0.714285714285714
"132","PDT000346539.1",2016,"China","clinical","feces","clinicalmcrisolates",9,3,6,0,0.5,0.333333333333333,0.666666666666667
"133","PDT000346540.1",2016,"China","clinical","feces","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"134","PDT000346541.1",2016,"China","clinical","feces","clinicalmcrisolates",19,6,13,0,0.461538461538462,0.315789473684211,0.684210526315789
"135","PDT000346542.1",2016,"China","clinical","feces","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"136","PDT000346543.1",2016,"China","clinical","feces","clinicalmcrisolates",13,4,9,0,0.444444444444444,0.307692307692308,0.692307692307692
"137","PDT000346544.1",2016,"China","clinical","feces","clinicalmcrisolates",11,3,8,0,0.375,0.272727272727273,0.727272727272727
"138","PDT000346545.1",2016,"China","clinical","feces","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"139","PDT000346546.1",2016,"China","clinical","feces","clinicalmcrisolates",14,3,11,0,0.272727272727273,0.214285714285714,0.785714285714286
"140","PDT000346547.1",2016,"China","clinical","feces","clinicalmcrisolates",17,5,12,0,0.416666666666667,0.294117647058824,0.705882352941177
"141","PDT000346548.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"142","PDT000346549.1",2016,"China","clinical","feces","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"143","PDT000346550.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"144","PDT000346551.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"145","PDT000346552.1",2016,"China","clinical","feces","clinicalmcrisolates",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"146","PDT000346553.1",2016,"China","clinical","feces","clinicalmcrisolates",8,3,5,0,0.6,0.375,0.625
"147","PDT000346554.1",2016,"China","clinical","feces","clinicalmcrisolates",16,4,12,0,0.333333333333333,0.25,0.75
"148","PDT000346555.1",2016,"China","clinical","feces","clinicalmcrisolates",13,4,9,0,0.444444444444444,0.307692307692308,0.692307692307692
"149","PDT000346556.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"150","PDT000346557.1",2016,"China","clinical","feces","clinicalmcrisolates",19,7,12,0,0.583333333333333,0.368421052631579,0.631578947368421
"151","PDT000346558.1",2016,"China","clinical","feces","clinicalmcrisolates",16,5,11,0,0.454545454545455,0.3125,0.6875
"152","PDT000346559.1",2016,"China","clinical","feces","clinicalmcrisolates",3,1,2,0,0.5,0.333333333333333,0.666666666666667
"153","PDT000346560.1",2016,"China","clinical","feces","clinicalmcrisolates",4,1,3,0,0.333333333333333,0.25,0.75
"154","PDT000346561.1",2016,"China","clinical","feces","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"155","PDT000346562.1",2016,"China","clinical","feces","clinicalmcrisolates",21,9,12,0,0.75,0.428571428571429,0.571428571428571
"156","PDT000346563.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"157","PDT000346564.1",2016,"China","clinical","feces","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"158","PDT000346565.1",2016,"China","clinical","feces","clinicalmcrisolates",14,4,10,0,0.4,0.285714285714286,0.714285714285714
"159","PDT000346566.1",2016,"China","clinical","feces","clinicalmcrisolates",20,7,13,0,0.538461538461538,0.35,0.65
"160","PDT000346567.1",2016,"China","clinical","feces","clinicalmcrisolates",14,6,8,0,0.75,0.428571428571429,0.571428571428571
"161","PDT000346568.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"162","PDT000346569.1",2016,"China","clinical","feces","clinicalmcrisolates",9,5,4,0,1.25,0.555555555555556,0.444444444444444
"163","PDT000346570.1",2016,"China","clinical","feces","clinicalmcrisolates",4,2,2,0,1,0.5,0.5
"164","PDT000346571.1",2016,"China","clinical","feces","clinicalmcrisolates",16,6,10,0,0.6,0.375,0.625
"165","PDT000346572.1",2016,"China","clinical","feces","clinicalmcrisolates",6,2,4,0,0.5,0.333333333333333,0.666666666666667
"166","PDT000346573.1",2016,"China","clinical","feces","clinicalmcrisolates",18,6,12,0,0.5,0.333333333333333,0.666666666666667
"167","PDT000346574.1",2016,"China","clinical","feces","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"168","PDT000346575.1",2016,"China","clinical","feces","clinicalmcrisolates",4,2,2,0,1,0.5,0.5
"169","PDT000346576.1",2016,"China","clinical","feces","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"170","PDT000346577.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"171","PDT000346578.1",2016,"China","clinical","feces","clinicalmcrisolates",10,2,8,0,0.25,0.2,0.8
"172","PDT000346579.1",2016,"China","clinical","feces","clinicalmcrisolates",5,1,4,0,0.25,0.2,0.8
"173","PDT000346580.1",2016,"China","clinical","feces","clinicalmcrisolates",7,3,4,0,0.75,0.428571428571429,0.571428571428571
"174","PDT000346581.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"175","PDT000346582.1",2016,"China","clinical","feces","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"176","PDT000346583.1",2016,"China","clinical","feces","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"177","PDT000346584.1",2016,"China","clinical","feces","clinicalmcrisolates",16,5,11,0,0.454545454545455,0.3125,0.6875
"178","PDT000346585.1",2016,"China","clinical","feces","clinicalmcrisolates",9,2,7,0,0.285714285714286,0.222222222222222,0.777777777777778
"179","PDT000346586.1",2016,"China","clinical","feces","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"180","PDT000346587.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"181","PDT000346588.1",2016,"China","clinical","feces","clinicalmcrisolates",14,4,10,0,0.4,0.285714285714286,0.714285714285714
"182","PDT000346589.1",2016,"China","clinical","feces","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"183","PDT000346590.1",2016,"China","clinical","feces","clinicalmcrisolates",13,3,10,0,0.3,0.230769230769231,0.769230769230769
"184","PDT000346591.1",2016,"China","clinical","feces","clinicalmcrisolates",15,5,10,0,0.5,0.333333333333333,0.666666666666667
"185","PDT000346592.1",2016,"China","clinical","feces","clinicalmcrisolates",14,4,10,0,0.4,0.285714285714286,0.714285714285714
"186","PDT000346593.1",2016,"China","clinical","feces","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"187","PDT000346594.1",2016,"China","clinical","feces","clinicalmcrisolates",13,5,8,0,0.625,0.384615384615385,0.615384615384615
"188","PDT000346595.1",2016,"China","clinical","feces","clinicalmcrisolates",11,3,8,0,0.375,0.272727272727273,0.727272727272727
"189","PDT000346596.1",2016,"China","clinical","feces","clinicalmcrisolates",13,4,9,0,0.444444444444444,0.307692307692308,0.692307692307692
"190","PDT000346597.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"191","PDT000346598.1",2016,"China","clinical","feces","clinicalmcrisolates",7,2,5,0,0.4,0.285714285714286,0.714285714285714
"192","PDT000346599.1",2016,"China","clinical","feces","clinicalmcrisolates",17,4,13,0,0.307692307692308,0.235294117647059,0.764705882352941
"193","PDT000346600.1",2016,"China","clinical","feces","clinicalmcrisolates",2,1,1,0,1,0.5,0.5
"194","PDT000346601.1",2016,"China","clinical","feces","clinicalmcrisolates",15,5,10,0,0.5,0.333333333333333,0.666666666666667
"195","PDT000346602.1",2016,"China","clinical","feces","clinicalmcrisolates",14,4,10,0,0.4,0.285714285714286,0.714285714285714
"196","PDT000346603.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"197","PDT000346604.1",2016,"China","clinical","feces","clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"198","PDT000346605.1",2016,"China","clinical","feces","clinicalmcrisolates",15,4,11,0,0.363636363636364,0.266666666666667,0.733333333333333
"199","PDT000346606.1",2016,"China","clinical","feces","clinicalmcrisolates",6,2,4,0,0.5,0.333333333333333,0.666666666666667
"200","PDT000346607.1",2016,"China","clinical","feces","clinicalmcrisolates",8,3,5,0,0.6,0.375,0.625
"201","PDT000346608.1",2016,"China","clinical","feces","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"202","PDT000346609.1",2016,"China","clinical","feces","clinicalmcrisolates",12,5,7,0,0.714285714285714,0.416666666666667,0.583333333333333
"203","PDT000346610.1",2016,"China","clinical","feces","clinicalmcrisolates",8,3,5,0,0.6,0.375,0.625
"204","PDT000346611.1",2016,"China","clinical","feces","clinicalmcrisolates",10,3,7,0,0.428571428571429,0.3,0.7
"205","PDT000346612.1",2016,"China","clinical","feces","clinicalmcrisolates",17,4,13,0,0.307692307692308,0.235294117647059,0.764705882352941
"206","PDT000346613.1",2016,"China","clinical","feces","clinicalmcrisolates",12,4,8,0,0.5,0.333333333333333,0.666666666666667
"207","PDT000346614.1",2016,"China","clinical","feces","clinicalmcrisolates",17,5,12,0,0.416666666666667,0.294117647058824,0.705882352941177
"208","PDT000346615.1",2016,"China","clinical","feces","clinicalmcrisolates",13,6,7,0,0.857142857142857,0.461538461538462,0.538461538461538
"209","PDT000346616.1",2016,"China","clinical","feces","clinicalmcrisolates",12,3,9,0,0.333333333333333,0.25,0.75
"210","PDT000346617.1",2016,"China","clinical","feces","clinicalmcrisolates",9,4,5,0,0.8,0.444444444444444,0.555555555555556
"211","PDT000346618.1",2016,"China","clinical","feces","clinicalmcrisolates",6,2,4,0,0.5,0.333333333333333,0.666666666666667
"212","PDT000346619.1",2016,"China","clinical","feces","clinicalmcrisolates",17,5,12,0,0.416666666666667,0.294117647058824,0.705882352941177
"213","PDT000346620.1",2016,"China","clinical","feces","clinicalmcrisolates",11,5,6,0,0.833333333333333,0.454545454545455,0.545454545454545
"214","PDT000346621.1",2016,"China","clinical","feces","clinicalmcrisolates",12,6,6,0,1,0.5,0.5
